S-L/average12,range,A:SPY,time,time_interval
1288,417.6118181818182,417.83,2022-03-15 03:02:00,26.0
1479,418.47272727272724,419.1,2022-03-15 20:30:00,1048.0
1481,419.33363636363634,419.35,2022-03-15 20:32:00,2.0
1537,420.19454545454545,420.3,2022-03-15 21:30:00,58.0
1539,421.05545454545455,421.19,2022-03-15 21:32:00,2.0
1597,421.91636363636366,421.94,2022-03-15 22:30:00,58.0
1655,422.77727272727276,422.97,2022-03-15 23:28:00,58.0
1662,423.6381818181818,423.73,2022-03-15 23:35:00,7.0
1866,424.4990909090909,424.64,2022-03-16 02:59:00,204.0
1884,425.36,425.5,2022-03-16 03:17:00,18.0
L-E/average12,range,B:QQQ,time,time_interval
1322,317.64,317.64,2022-03-15 03:36:00,
1330,318.56363636363636,318.68,2022-03-15 03:44:00,8.0
1410,319.48727272727274,319.66,2022-03-15 06:36:00,172.0
1479,320.41090909090906,320.66,2022-03-15 20:30:00,834.0
1518,321.33454545454543,321.39,2022-03-15 21:11:00,41.0
1571,322.2581818181818,322.42,2022-03-15 22:04:00,53.0
1596,323.1818181818182,323.45,2022-03-15 22:29:00,25.0
1598,324.10545454545456,324.24,2022-03-15 22:31:00,2.0
1645,325.02909090909094,325.08,2022-03-15 23:18:00,47.0
1658,325.95272727272726,326.12,2022-03-15 23:31:00,13.0
1883,326.87636363636364,327.02,2022-03-16 03:16:00,225.0
1892,327.8,327.8,2022-03-16 03:25:00,9.0
